age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;subscribed
60;self-employed;married;professional.course;unknown;yes;no;telephone;jun;fri;10.0;4.0;999.0;0.0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no
31;blue-collar;divorced;basic.9y;no;yes;no;cellular;may;tue;160.0;2.0;999.0;1.0;failure;-1.8;92.893;-46.2;1.344;5099.1;no
28;admin.;single;university.degree;no;no;no;cellular;oct;mon;225.0;1.0;3.0;3.0;success;-1.1;94.601;-49.5;;4963.6;yes
30;admin.;single;university.degree;no;yes;no;cellular;nov;tue;402.0;1.0;999.0;0.0;nonexistent;-3.4;92.649;-30.1;0.72;5017.5;no
32;unknown;married;basic.6y;unknown;no;no;telephone;may;tue;39.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.856;5191.0;no
46;technician;married;professional.course;no;yes;no;cellular;apr;thu;369.0;2.0;999.0;0.0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes
43;blue-collar;married;basic.4y;no;no;yes;cellular;may;thu;722.0;2.0;11.0;1.0;success;-1.8;92.893;-46.2;;5099.1;yes
35;admin.;divorced;university.degree;no;yes;no;cellular;nov;fri;28.0;3.0;999.0;1.0;failure;-0.1;93.2;-42.0;;5195.8;no
43;blue-collar;married;basic.4y;unknown;yes;no;telephone;may;tue;193.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
30;technician;divorced;high.school;no;yes;yes;telephone;jun;tue;131.0;2.0;999.0;0.0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no
38;technician;single;high.school;unknown;yes;yes;cellular;aug;mon;265.0;3.0;999.0;0.0;nonexistent;1.4;93.444;-36.1;;5228.1;no
44;blue-collar;married;basic.6y;no;no;no;cellular;aug;wed;15.0;12.0;999.0;0.0;nonexistent;1.4;93.444;-36.1;;5228.1;no
40;admin.;married;high.school;no;yes;no;cellular;nov;tue;134.0;1.0;999.0;0.0;nonexistent;-0.1;93.2;-42.0;;5195.8;no
45;blue-collar;married;professional.course;no;no;no;cellular;oct;tue;117.0;1.0;999.0;0.0;nonexistent;-3.4;92.431;-26.9;0.744;5017.5;no
34;admin.;single;basic.6y;no;no;no;cellular;may;thu;22.0;11.0;999.0;0.0;nonexistent;-1.8;92.893;-46.2;1.327;5099.1;no
56;management;married;university.degree;no;yes;no;cellular;nov;wed;130.0;2.0;999.0;0.0;nonexistent;-0.1;93.2;-42.0;4.12;5195.8;no
39;blue-collar;married;basic.9y;no;yes;yes;cellular;may;tue;494.0;1.0;999.0;0.0;nonexistent;-1.8;92.893;-46.2;;5099.1;yes
56;blue-collar;divorced;high.school;no;no;no;telephone;nov;fri;68.0;1.0;999.0;0.0;nonexistent;-0.1;93.2;-42.0;4.021;5195.8;no
39;management;married;university.degree;no;yes;no;cellular;apr;fri;306.0;1.0;999.0;0.0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;no
26;blue-collar;married;basic.9y;no;no;no;cellular;may;thu;135.0;1.0;999.0;2.0;failure;-1.8;92.893;-46.2;;5099.1;no
59;retired;married;basic.6y;no;yes;no;cellular;may;mon;228.0;6.0;999.0;0.0;nonexistent;-1.8;92.893;-46.2;1.354;5099.1;yes
46;housemaid;divorced;basic.4y;unknown;no;yes;cellular;jul;tue;518.0;1.0;999.0;0.0;nonexistent;1.4;93.918;-42.7;4.961;5228.1;no
64;retired;married;high.school;no;yes;no;cellular;apr;fri;111.0;1.0;999.0;0.0;nonexistent;-1.8;93.075;-47.1;;5099.1;no
44;technician;single;university.degree;no;yes;no;cellular;aug;wed;79.0;6.0;999.0;0.0;nonexistent;1.4;93.444;-36.1;4.964;5228.1;no
34;technician;married;professional.course;unknown;yes;no;cellular;aug;thu;239.0;3.0;999.0;0.0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;no
51;blue-collar;married;basic.4y;no;no;no;cellular;may;thu;159.0;1.0;999.0;1.0;failure;-1.8;92.893;-46.2;1.266;5099.1;no
42;blue-collar;married;basic.4y;unknown;no;no;telephone;may;tue;114.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
31;blue-collar;divorced;basic.9y;no;no;no;cellular;nov;wed;546.0;3.0;999.0;0.0;nonexistent;-0.1;93.2;-42.0;4.12;5195.8;no
37;entrepreneur;married;basic.9y;no;no;no;cellular;may;mon;238.0;2.0;999.0;1.0;failure;-1.8;92.893;-46.2;1.299;5099.1;no
58;admin.;married;high.school;no;yes;yes;cellular;aug;tue;314.0;1.0;999.0;0.0;nonexistent;1.4;93.444;-36.1;4.968;5228.1;no
29;services;single;high.school;no;yes;no;cellular;jul;wed;112.0;3.0;999.0;0.0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;no
22;technician;single;professional.course;no;yes;no;cellular;dec;mon;1141.0;1.0;999.0;0.0;nonexistent;-3.0;92.713;-33.0;;5023.5;yes
36;admin.;single;high.school;no;yes;no;cellular;apr;fri;140.0;1.0;999.0;0.0;nonexistent;-1.8;93.075;-47.1;;5099.1;no
29;admin.;single;university.degree;no;yes;no;telephone;may;wed;849.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;;5191.0;no
47;services;married;basic.9y;no;yes;no;cellular;aug;thu;676.0;4.0;999.0;0.0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;no
51;services;single;high.school;unknown;yes;no;telephone;may;thu;148.0;4.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.86;5191.0;no
35;blue-collar;married;professional.course;no;yes;no;cellular;jul;wed;218.0;2.0;999.0;0.0;nonexistent;1.4;93.918;-42.7;;5228.1;no
92;retired;divorced;unknown;unknown;no;no;cellular;may;wed;405.0;3.0;999.0;1.0;failure;-1.8;93.876;-40.0;0.697;5008.7;yes
41;housemaid;married;high.school;no;yes;no;telephone;nov;fri;1074.0;1.0;999.0;0.0;nonexistent;-0.1;93.2;-42.0;4.021;5195.8;yes
33;admin.;single;university.degree;no;yes;no;cellular;apr;fri;382.0;2.0;999.0;0.0;nonexistent;-1.8;93.075;-47.1;;5099.1;no
47;blue-collar;married;basic.4y;unknown;no;no;cellular;aug;mon;74.0;2.0;999.0;0.0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;no
40;admin.;single;basic.9y;no;no;no;cellular;jul;mon;1089.0;1.0;999.0;0.0;nonexistent;1.4;93.918;-42.7;;5228.1;no
30;technician;married;professional.course;no;yes;no;cellular;mar;tue;368.0;1.0;999.0;0.0;nonexistent;-1.8;93.369;-34.8;0.655;5008.7;yes
32;blue-collar;single;basic.9y;no;no;no;cellular;nov;thu;324.0;5.0;999.0;0.0;nonexistent;-0.1;93.2;-42.0;4.076;5195.8;no
29;admin.;single;high.school;no;yes;no;cellular;jul;fri;151.0;2.0;999.0;0.0;nonexistent;1.4;93.918;-42.7;;5228.1;no
38;management;single;university.degree;no;no;no;telephone;jul;wed;284.0;8.0;999.0;0.0;nonexistent;1.4;93.918;-42.7;;5228.1;no
30;blue-collar;divorced;basic.9y;no;no;no;telephone;may;tue;29.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;;5191.0;no
39;services;single;high.school;unknown;yes;yes;telephone;jun;mon;563.0;1.0;999.0;0.0;nonexistent;1.4;94.465;-41.8;;5228.1;yes
32;services;married;high.school;no;no;no;cellular;may;thu;213.0;2.0;999.0;0.0;nonexistent;-1.8;92.893;-46.2;;5099.1;no
27;admin.;single;university.degree;no;no;no;telephone;jun;fri;134.0;2.0;999.0;0.0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no
38;housemaid;married;basic.6y;unknown;yes;no;telephone;may;fri;153.0;4.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;;5191.0;no
40;blue-collar;married;basic.9y;no;unknown;unknown;telephone;nov;thu;160.0;1.0;999.0;0.0;nonexistent;-0.1;93.2;-42.0;4.245;5195.8;yes
51;blue-collar;married;professional.course;no;yes;no;cellular;dec;wed;241.0;3.0;999.0;0.0;nonexistent;-3.0;92.713;-33.0;0.7;5023.5;yes
33;unemployed;married;university.degree;no;yes;no;cellular;jun;mon;579.0;3.0;999.0;0.0;nonexistent;-2.9;92.963;-40.8;1.26;5076.2;yes
26;admin.;married;high.school;no;no;no;cellular;jun;wed;428.0;1.0;999.0;0.0;nonexistent;-1.7;94.055;-39.8;;4991.6;no
29;services;married;high.school;unknown;yes;no;cellular;nov;thu;441.0;4.0;999.0;0.0;nonexistent;-0.1;93.2;-42.0;4.076;5195.8;no
59;housemaid;married;basic.4y;no;no;yes;telephone;jun;mon;63.0;1.0;999.0;0.0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no
49;unknown;married;high.school;unknown;yes;no;telephone;may;tue;43.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;;5191.0;no
40;blue-collar;married;basic.9y;unknown;no;no;telephone;jun;thu;146.0;2.0;999.0;0.0;nonexistent;1.4;94.465;-41.8;;5228.1;no
42;admin.;married;high.school;no;yes;no;telephone;may;tue;453.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
52;retired;married;high.school;no;yes;no;cellular;aug;fri;293.0;3.0;999.0;0.0;nonexistent;1.4;93.444;-36.1;4.966;5228.1;no
28;services;married;high.school;no;yes;yes;telephone;jul;wed;79.0;8.0;999.0;0.0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;no
55;retired;married;basic.9y;unknown;no;no;telephone;may;mon;114.0;1.0;999.0;1.0;failure;-1.8;92.893;-46.2;1.299;5099.1;no
35;technician;married;high.school;unknown;no;no;cellular;jul;wed;96.0;1.0;999.0;0.0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;no
32;technician;married;professional.course;no;no;no;cellular;may;fri;158.0;2.0;999.0;1.0;failure;-1.8;92.893;-46.2;1.313;5099.1;no
44;housemaid;married;basic.9y;no;no;no;telephone;may;fri;98.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;;5191.0;no
32;blue-collar;married;professional.course;no;yes;no;telephone;jul;fri;168.0;1.0;999.0;0.0;nonexistent;1.4;93.918;-42.7;4.962;5228.1;no
39;admin.;married;university.degree;unknown;yes;no;cellular;aug;thu;200.0;1.0;999.0;1.0;failure;-2.9;92.201;-31.4;;5076.2;no
32;admin.;married;university.degree;no;no;no;cellular;jun;tue;596.0;1.0;999.0;0.0;nonexistent;-2.9;92.963;-40.8;1.262;5076.2;yes
44;technician;married;professional.course;no;yes;no;cellular;sep;tue;173.0;1.0;4.0;1.0;success;-3.4;92.379;-29.8;0.755;5017.5;yes
51;entrepreneur;married;basic.4y;no;no;no;telephone;may;tue;446.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.856;5191.0;no
29;services;married;high.school;no;no;yes;cellular;may;wed;747.0;2.0;999.0;1.0;failure;-1.8;92.893;-46.2;1.281;5099.1;yes
29;blue-collar;married;basic.9y;no;yes;yes;cellular;nov;wed;133.0;1.0;999.0;1.0;failure;-0.1;93.2;-42.0;4.12;5195.8;no
50;housemaid;married;basic.4y;no;yes;no;telephone;nov;tue;150.0;2.0;999.0;0.0;nonexistent;-0.1;93.2;-42.0;4.153;5195.8;yes
53;management;divorced;university.degree;no;no;no;cellular;jun;mon;345.0;1.0;999.0;0.0;nonexistent;-1.7;94.055;-39.8;;4991.6;yes
26;self-employed;single;university.degree;no;no;no;cellular;may;wed;161.0;1.0;3.0;1.0;success;-1.8;92.893;-46.2;1.27;5099.1;no
37;management;married;university.degree;no;no;no;telephone;jun;tue;303.0;1.0;999.0;0.0;nonexistent;1.4;94.465;-41.8;4.864;5228.1;no
32;services;married;professional.course;no;no;no;cellular;jun;wed;94.0;6.0;999.0;0.0;nonexistent;-2.9;92.963;-40.8;;5076.2;no
35;unknown;married;basic.9y;no;yes;no;telephone;may;thu;235.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;;5191.0;no
36;technician;married;high.school;no;no;no;telephone;jul;tue;426.0;1.0;999.0;0.0;nonexistent;1.4;93.918;-42.7;;5228.1;no
36;admin.;married;basic.6y;no;no;no;telephone;may;thu;114.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;;5191.0;no
69;retired;divorced;university.degree;no;yes;no;cellular;apr;tue;207.0;2.0;999.0;0.0;nonexistent;-1.8;93.075;-47.1;1.423;5099.1;yes
31;blue-collar;married;basic.9y;no;no;no;telephone;may;fri;109.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;;5191.0;no
31;admin.;married;university.degree;no;yes;no;cellular;aug;mon;104.0;2.0;999.0;0.0;nonexistent;1.4;93.444;-36.1;;5228.1;no
33;admin.;married;high.school;no;yes;yes;cellular;may;mon;124.0;1.0;999.0;1.0;failure;-1.8;92.893;-46.2;;5099.1;no
47;technician;single;professional.course;no;yes;no;cellular;jul;mon;365.0;3.0;999.0;0.0;nonexistent;1.4;93.918;-42.7;;5228.1;yes
65;retired;married;basic.4y;no;yes;no;cellular;oct;wed;258.0;1.0;3.0;3.0;success;-1.1;94.601;-49.5;;4963.6;yes
34;entrepreneur;married;high.school;unknown;no;no;telephone;may;wed;436.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;;5191.0;no
50;technician;married;basic.6y;no;yes;no;telephone;jun;fri;61.0;2.0;999.0;0.0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no
45;admin.;divorced;university.degree;no;no;no;cellular;may;mon;507.0;1.0;999.0;0.0;nonexistent;-1.8;92.893;-46.2;;5099.1;yes
41;self-employed;married;basic.9y;no;no;no;cellular;apr;fri;112.0;1.0;999.0;1.0;failure;-1.8;93.075;-47.1;;5099.1;no
35;blue-collar;divorced;basic.4y;no;yes;yes;telephone;may;wed;433.0;3.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
