instant;date;month;hour;holiday;weekday;workingday;weather;temperature;humidity;windspeed;count
1;2012-12-20;12;6;0.00;4;True;cloudy;6.10;65.00;0.00;118
2;2012-11-14;11;9;0.00;3;True;clear;6.10;52.00;26.00;332
3;2012-08-23;8;3;0.00;4;True;clear;21.14;83.00;6.00;9
4;2012-05-24;5;8;0.00;4;True;clear;21.14;73.00;9.00;692
5;2012-10-06;10;13;0.00;6;False;cloudy;22.08;57.00;35.00;710
6;2012-12-14;12;15;0.00;5;True;clear;10.80;47.00;11.00;309
7;2012-07-29;7;21;0.00;0;False;clear;25.84;70.00;9.00;271
8;2012-02-08;2;14;0.00;3;True;cloudy;6.10;56.00;11.00;108
9;2012-11-14;11;1;0.00;3;True;clear;3.28;60.00;20.00;12
10;2012-01-24;1;22;0.00;2;True;clear;7.04;81.00;0.00;125
11;2012-10-05;10;10;0.00;5;True;clear;23.02;54.00;0.00;260
12;2012-01-25;1;21;0.00;3;True;clear;6.10;65.00;0.00;185
13;2012-10-21;10;18;0.00;0;False;clear;16.44;39.00;13.00;413
14;2012-01-18;1;20;0.00;3;True;clear;2.34;37.00;17.00;165
15;2012-07-11;7;21;0.00;3;True;clear;25.84;58.00;15.00;391
16;2012-09-11;9;23;0.00;2;True;clear;17.38;68.00;7.00;109
17;2012-08-19;8;20;0.00;0;False;cloudy;22.08;73.00;13.00;274
18;2012-04-23;4;4;0.00;1;True;light rain/snow;6.10;81.00;19.00;3
19;2012-07-09;7;8;0.00;1;True;cloudy;23.02;83.00;11.00;455
20;2012-02-16;2;9;0.00;4;True;cloudy;6.10;70.00;11.00;202
21;2012-01-15;1;5;0.00;0;False;cloudy;-0.48;47.00;22.00;5
22;2012-11-23;11;7;0.00;5;True;clear;3.28;81.00;0.00;77
23;2012-07-07;7;0;0.00;6;False;clear;28.66;66.00;9.00;150
24;2012-04-18;4;16;0.00;3;True;cloudy;11.74;77.00;15.00;235
25;2012-02-12;2;5;0.00;0;False;clear;-3.30;49.00;26.00;3
26;2012-03-24;3;6;0.00;6;False;cloudy;16.44;83.00;11.00;28
27;2012-09-09;9;7;0.00;0;False;clear;17.38;73.00;11.00;70
28;2012-12-03;12;18;0.00;1;True;clear;15.50;68.00;6.00;692
29;2012-12-24;12;17;0.00;1;True;light rain/snow;3.28;93.00;11.00;26
30;2012-12-05;12;11;0.00;3;True;clear;12.68;44.00;19.00;172
31;2012-11-20;11;1;0.00;2;True;clear;7.98;66.00;7.00;13
32;2012-04-05;4;12;0.00;4;True;clear;12.68;33.00;0.00;276
33;2012-04-19;4;6;0.00;4;True;cloudy;10.80;82.00;7.00;120
34;2012-07-07;7;15;0.00;6;False;clear;37.12;26.00;0.00;306
35;2012-02-08;2;11;0.00;3;True;cloudy;4.22;65.00;15.00;102
36;2012-09-01;9;6;0.00;6;False;clear;23.96;79.00;0.00;36
37;2012-12-19;12;11;0.00;3;True;clear;10.80;54.00;15.00;200
38;2012-05-09;5;13;0.00;3;True;cloudy;22.08;53.00;17.00;266
39;2012-08-13;8;23;0.00;1;True;clear;24.90;70.00;15.00;128
40;2012-06-06;6;9;0.00;3;True;clear;18.32;60.00;6.00;303
41;2012-01-01;1;21;0.00;0;False;cloudy;12.68;67.00;17.00;71
42;2012-12-28;12;11;0.00;5;True;cloudy;5.16;52.00;15.00;178
43;2012-03-20;3;21;0.00;2;True;clear;18.32;73.00;0.00;277
44;2012-10-12;10;1;0.00;5;True;clear;10.80;66.00;6.00;37
45;2012-01-29;1;15;0.00;0;False;clear;8.92;25.00;19.00;310
46;2012-10-16;10;17;0.00;2;True;clear;16.44;39.00;13.00;943
47;2012-07-27;7;3;0.00;5;True;clear;24.90;74.00;11.00;12
48;2012-06-30;6;2;0.00;6;False;cloudy;22.08;89.00;0.00;61
49;2012-03-05;3;22;0.00;1;True;clear;3.28;35.00;22.00;78
50;2012-07-07;7;22;0.00;6;False;clear;31.48;59.00;13.00;220
51;2012-11-01;11;19;0.00;4;True;cloudy;10.80;50.00;11.00;452
52;2012-11-30;11;18;0.00;5;True;cloudy;7.98;61.00;0.00;509
53;2012-08-02;8;1;0.00;4;True;clear;23.96;79.00;7.00;42
